z(ft) res(ohmm) z(m)
1944.6582779233 3.7519584201377 592.70291920856
1949.3063196931 2.5394257845494 594.11957320728
1959.410758323 3.9540471927357 597.19925581317
1963.2504450023 5.7728461461182 598.36953520338
1981.6405233088 6.7832900091085 603.97455754611
1987.5010977141 5.5707573735201 605.76077345751
1996.595092481 5.7728461461182 608.5324878028
2000.636867933 1.3268931489611 609.76436084517
2011.5496616533 2.5394257845494 613.09041805952
2025.6958757351 2.1352482393533 617.40197370774
2028.9292960967 3.9540471927357 618.38747214163
2036.2044919102 2.9436033297455 620.60484361786
2040.0441785896 1.9331594667552 621.77512300811
2045.2984866772 2.5394257845494 623.37655796318
2054.3924814441 2.1352482393533 626.14827230847
2062.0718548028 2.5394257845494 628.48883108894
2071.1658495697 2.9436033297455 631.26054543423
2075.2076250217 2.1352482393533 632.49241847659
2078.6431341558 3.9540471927357 633.53951056257
2085.109974879 2.5394257845494 635.51050743036
2094.8102359637 2.7415145571474 638.467002732
2103.9042307306 1.9331594667552 641.23871707729
2115.2212019961 2.1352482393533 644.68796159589
2125.325640626 2.5394257845494 647.76764420177
2134.8238129381 2.9436033297455 650.6625458513
2144.928251568 3.3477808749416 653.74222845718
2154.4264238801 2.5394257845494 656.63713010671
2164.53086251 1.7310706941572 659.71681271259
